"","long","course","lat","speed","day","utc_time","DateN","TimeN","Time","sequenceTime"
"786","08423.1872","228.78","3345.8204","6.82","200717",1613,"1613","",NA,786
"787","08423.1896","228.08","3345.8186","8.72","200717",1614,"1614","",NA,787
"788","08423.1917","227.07","3345.8168","9.67","200717",1615,"1615","",NA,788
"789","08423.1936","225.83","3345.8153","8.14","200717",1616,"1616","",NA,789
"790","08423.1948","205.80","3345.8134","7.64","200717",1617,"1617","",NA,790
"791","08423.1959","206.59","3345.8116","7.33","200717",1618,"1618","",NA,791
"792","08423.1970","207.99","3345.8105","5.61","200717",1619,"1619","",NA,792
"793","08423.1982","209.25","3345.8088","5.07","200717",1620,"1620","",NA,793
"794","08423.1993","210.15","3345.8071","3.42","200717",1621,"1621","",NA,794
"795","08423.2006","212.95","3345.8046","4.05","200717",1622,"1622","",NA,795
"796","08423.2018","210.79","3345.8025","4.06","200717",1623,"1623","",NA,796
"797","08423.2023","210.79","3345.8017","2.79","200717",1624,"1624","",NA,797
"798","08423.2027","210.79","3345.8006","1.86","200717",1625,"1625","",NA,798
"799","08423.2026","210.79","3345.8004","1.23","200717",1626,"1626","",NA,799
"800","08423.2024","210.79","3345.8006","0.57","200717",1627,"1627","",NA,800
"801","08423.2025","210.79","3345.8003","0.51","200717",1628,"1628","",NA,801
"802","08423.2024","210.79","3345.8002","0.94","200717",1629,"1629","",NA,802
"803","08423.2021","210.79","3345.8003","0.31","200717",1630,"1630","",NA,803
